iter	Passed	Remaining
701	29936	12799
702	29969	12752
703	30004	12705
704	30041	12660
705	30078	12614
706	30118	12571
707	30155	12525
708	30193	12480
709	30230	12435
710	30267	12389
711	30302	12343
712	30336	12297
713	30372	12251
714	30408	12206
715	30441	12159
716	30476	12113
717	30511	12067
718	30547	12022
719	30582	11976
720	30615	11929
721	30651	11884
722	30687	11838
723	30722	11793
724	30758	11748
725	30792	11701
726	30829	11657
727	30864	11611
728	30899	11566
729	30935	11520
730	30971	11475
731	31010	11431
732	31050	11387
733	31088	11343
734	31125	11299
735	31164	11255
736	31200	11209
737	31235	11164
738	31273	11120
739	31307	11074
740	31345	11030
741	31385	10986
742	31423	10942
743	31459	10898
744	31496	10853
745	31538	10810
746	31577	10766
747	31611	10721
748	31644	10675
749	31680	10630
750	31715	10585
751	31750	10541
752	31787	10496
753	31824	10452
754	31859	10407
755	31894	10362
756	31929	10317
757	31966	10273
758	32003	10229
759	32036	10183
760	32068	10138
761	32102	10093
762	32136	10047
763	32174	10004
764	32210	9959
765	32248	9915
766	32281	9870
767	32313	9825
768	32348	9780
769	32387	9737
770	32423	9693
771	32457	9648
772	32492	9603
773	32528	9559
774	32562	9514
775	32597	9470
776	32633	9426
777	32672	9383
778	32708	9339
779	32744	9295
780	32784	9252
781	32820	9208
782	32855	9164
783	32892	9120
784	32926	9075
785	32960	9031
786	32994	8987
787	33030	8943
788	33063	8898
789	33101	8855
790	33135	8810
791	33170	8766
792	33204	8722
793	33243	8679
794	33279	8635
795	33316	8592
796	33349	8547
797	33385	8504
798	33420	8460
799	33455	8416
800	33489	8372
801	33524	8328
802	33560	8284
803	33596	8241
804	33629	8197
805	33662	8153
806	33695	8108
807	33730	8064
808	33764	8021
809	33803	7978
810	33837	7934
811	33874	7891
812	33911	7848
813	33950	7805
814	33987	7762
815	34024	7719
816	34063	7676
817	34101	7634
818	34135	7590
819	34173	7547
820	34209	7504
821	34249	7461
822	34282	7418
823	34316	7374
824	34354	7331
825	34390	7288
826	34426	7245
827	34461	7202
